mu,F,F',F''
16.7,14.9792,0.999999,1.10635e-25
16.8,15.0792,0.999999,5.23799e-26
16.9,15.1792,0.999999,2.4679e-26
17,15.2792,0.999999,1.15713e-26
17.1,15.3792,0.999999,5.39926e-27
17.2,15.4792,0.999999,2.50715e-27
17.3,15.5792,0.999999,1.15858e-27
17.4,15.6792,0.999999,5.32809e-28
17.5,15.7792,0.999999,2.43849e-28
17.6,15.8792,0.999999,1.11064e-28
17.7,15.9792,0.999999,5.03427e-29
17.8,16.0792,0.999999,2.27095e-29
17.9,16.1792,0.999999,1.01951e-29
18,16.2792,0.999999,4.55504e-30
18.1,16.3792,0.999999,2.02539e-30
18.2,16.4792,0.999999,8.96287e-31
18.3,16.5792,0.999999,3.94737e-31
18.4,16.6792,0.999999,1.73019e-31
18.5,16.7792,0.999999,7.54759e-32
18.6,16.8792,0.999999,3.27684e-32
18.7,16.9792,0.999999,1.41591e-32
18.8,17.0792,0.999999,6.08911e-33
18.9,17.1792,0.999999,2.60623e-33
19,17.2792,0.999999,1.11024e-33
19.1,17.3792,0.999999,4.70724e-34
19.2,17.4792,0.999999,1.9864e-34
19.3,17.5792,0.999999,8.34298e-35
19.4,17.6792,0.999999,3.48765e-35
19.5,17.7792,0.999999,1.45113e-35
19.6,17.8792,0.999999,6.00957e-36
19.7,17.9792,0.999999,2.47713e-36
19.8,18.0792,0.999999,1.01631e-36
19.9,18.1792,0.999999,4.15032e-37
20,18.2792,0.999999,1.68701e-37

